ID,Long,Lat,Country,Island,pop,geometry,id,cluster
4703.0,-75.353661,-50.390018,Chile,Isla Guarello,84.0,POINT (-75.353661 -50.390018),8,0
7279.0,-73.467764,-42.962449,Chile,Isla Tranqui,1321.0,POINT (-73.467764 -42.962449),20,1
8702.0,-157.341429,-20.16117,Cook Islands,Mauke,150.0,POINT (-157.341429 -20.16117),54,2
78909.0,179.241588,-16.602517,Fiji,Vanua Levu,115684.0,POINT (179.241588 -16.602517),1704,3
9015.0,-149.400753,-17.677486,French Polynesia,Tahiti,166260.0,POINT (-149.400753 -17.677486),69,4
9718.0,-139.013922,-9.774777,French Polynesia,Hiva Oa,3556.0,POINT (-139.013922 -9.774777),91,5
9832.0,-156.927066,20.834995,United States,Lana?i,2723.0,POINT (-156.927066 20.834995),97,6
9906.0,-89.43056,-0.826798,Ecuador,Isla San Cristobal,9031.0,POINT (-89.43056 -0.826798),104,7
10218.0,-81.75732,7.470821,Panama,Isla de Coiba,192.0,POINT (-81.75732 7.470821),107,8
10344.0,-79.111002,8.264775,Panama,Isla San Jose,193.0,POINT (-79.111002 8.264775),108,9
10860.0,-64.184634,10.815933,Venezuela,Isla Cubagua,51.0,POINT (-64.184634 10.815933),114,10
11682.0,-63.054398,18.214736,Anguilla,Anguilla,15700.0,POINT (-63.054398 18.214736),150,11
11573.0,-61.793378,17.631531,Antigua and Barbuda,Barbuda,1738.0,POINT (-61.793378 17.631531),143,11
11229.0,-61.349988,15.434552,Dominica,Dominica,66329.0,POINT (-61.349988 15.434552),131,11
11097.0,-61.453587,12.479535,Grenada,Carriacou Island,5368.0,POINT (-61.453587 12.479535),122,11
11264.0,-61.268569,15.932114,Guadeloupe,Marie-Galante,12285.0,POINT (-61.268569 15.932114),132,11
11221.0,-61.018115,14.652747,Martinique,Martinique,350805.0,POINT (-61.018115 14.652747),130,11
11431.0,-62.189685,16.739452,Montserrat,Montserrat,5187.0,POINT (-62.189685 16.739452),137,11
11565.0,-63.237528,17.631469,Netherlands Antilles,Saba,1795.0,POINT (-63.237528 17.631469),142,11
11653.0,-63.062734,18.061742,Netherlands Antilles; Guadeloupe,Ile Saint-Martin,69383.0,POINT (-63.062734 18.061742),147,11
11519.0,-62.765059,17.339227,Saint Kitts and Nevis,Saint Christopher,37292.0,POINT (-62.765059 17.339227),140,11
11193.0,-60.966774,13.898433,Saint Lucia,Saint Lucia Island,156151.0,POINT (-60.966774 13.898433),129,11
11176.0,-61.188975,13.251309,Saint Vincent and the Grenadines,Saint Vincent,81984.0,POINT (-61.188975 13.251309),128,11
10928.0,-60.666351,11.241491,Trinidad and Tobago,Tobago,50212.0,POINT (-60.666351 11.241491),117,11
11143.0,-87.711535,13.190003,El Salvador,Isla Meanguera,1648.0,POINT (-87.711535 13.190003),125,12
11270.0,-86.932004,16.097974,Honduras,Isla de Utila,2705.0,POINT (-86.932004 16.097974),133,12
12014.0,-86.902482,20.442404,Mexico,Isla Cozumel,97974.0,POINT (-86.902482 20.442404),168,12
11779.0,-64.620064,18.424074,British Virgin Islands,Little Wickham's Cay,26556.0,POINT (-64.620064 18.424074),155,13
