ID,Long,Lat,Country,Island,pop,geometry,id,cluster,Region
56806,53.29194,24.292359,United Arab Emirates,Jazirat Marawwah,636,POINT (53.29194 24.292359),887,75,Unknown
57153,55.810224,26.784128,Iran,Jazireh-ye Qeshm,129678,POINT (55.810224 26.784128),898,76,Unknown
58256,79.300692,9.267577,India,Pamban Island,43374,POINT (79.300692 9.267577),909,77,APAC
58319,79.893446,9.634944,Sri Lanka,Kayts,17231,POINT (79.893446 9.634944),911,77,APAC
58456,53.045257,12.155939,Yemen,Samhah,163,POINT (53.045257 12.155939),916,78,Unknown
75350,121.458274,19.325178,Philippines,Calayan Island,9921,POINT (121.458274 19.325178),1632,79,APAC
59987,121.490499,22.660052,Taiwan,Lu Dao,1990,POINT (121.490499 22.660052),954,79,APAC
59132,107.005822,20.800673,Vietnam,Dao Cat Ba,26029,POINT (107.005822 20.800673),940,80,APAC
59758,112.781316,21.68574,China,Shangchuan Dao,14981,POINT (112.781316 21.68574),949,81,APAC
59911,113.944882,22.261671,Hong Kong,Tai Yue Shan,109963,POINT (113.944882 22.261671),953,81,APAC
60172,124.010534,24.237904,Japan,Kuro-shima,329,POINT (124.010534 24.237904),958,82,APAC
60432,119.690789,25.648962,China,Dalian Dao,1749,POINT (119.690789 25.648962),968,83,APAC
60089,119.616749,23.563816,Taiwan,Penghu Dao,72734,POINT (119.616749 23.563816),956,83,APAC
61593,130.975089,30.580814,Japan,Tanega-shima,29980,POINT (130.975089 30.580814),1010,84,APAC
62691,127.044018,34.349904,South Korea,Douglas Island,752,POINT (127.044018 34.349904),1061,84,APAC
60824,121.045554,27.860103,China,Niyu Dao,5025,POINT (121.045554 27.860103),983,85,APAC
61419,122.278933,30.257604,China,Xiaochangtu Shan,5285,POINT (122.278933 30.257604),1003,86,APAC
62657,133.172929,34.319652,Japan,Inno-shima,25224,POINT (133.172929 34.319652),1059,87,APAC
61919,139.798228,33.106333,Japan,Hachijo-jima,7717,POINT (139.798228 33.106333),1024,88,APAC
63994,133.098224,36.083692,Japan,Nakano-shima,1727,POINT (133.098224 36.083692),1089,89,APAC
64416,124.699865,37.824466,North Korea,Daisei To,139,POINT (124.699865 37.824466),1096,90,APAC
64606,122.693906,39.230917,China,Xiaochangshan Dao,4705,POINT (122.693906 39.230917),1103,91,APAC
84941,128.655342,-3.553404,Indonesia,Pulau Saparua,33283,POINT (128.655342 -3.553404),1993,92,APAC
84679,122.715566,-4.543211,Indonesia,Pulau Tobea Besar,2621,POINT (122.715566 -4.543211),1972,93,APAC
65731,134.365964,-2.071292,Indonesia,Meos Waar,132,POINT (134.365964 -2.071292),1166,94,APAC
64993,152.598744,-3.120609,Papua New Guinea,Lihir Island,14527,POINT (152.598744 -3.120609),1111,95,APAC
65598,116.448624,-2.157306,Indonesia,,1111,POINT (116.448624 -2.157306),1158,96,APAC
66087,149.975686,-1.663443,Papua New Guinea,Emirau Island,2416,POINT (149.975686 -1.663443),1192,97,APAC
65077,106.8175,-2.963562,Indonesia,Pulau Lepar,9072,POINT (106.8175 -2.963562),1118,98,APAC
68311,103.900695,0.975068,Indonesia,Pulau Bulan,5519,POINT (103.900695 0.975068),1302,99,APAC
68999,104.171622,2.78819,Malaysia,Pulau Tioman,950,POINT (104.171622 2.78819),1350,99,APAC
73799,98.465891,11.685609,Myanmar,Kisseraing Island,18498,POINT (98.465891 11.685609),1546,99,APAC
71403,98.609963,8.13127,Thailand,Ko Yao Noi,3659,POINT (98.609963 8.13127),1470,99,APAC
65327,147.273592,-2.548093,Papua New Guinea,Baluan Island,359,POINT (147.273592 -2.548093),1139,100,APAC
65762,125.955756,-2.211293,Indonesia,Pulau Sanana,10839,POINT (125.955756 -2.211293),1167,101,APAC
65936,137.303241,-1.809053,Indonesia,,137,POINT (137.303241 -1.809053),1180,102,APAC
65186,110.094765,-2.722306,Indonesia,Pulau Bawal,365,POINT (110.094765 -2.722306),1126,103,APAC
66733,117.375618,-0.870784,Indonesia,Muaraulu,77,POINT (117.375618 -0.870784),1217,104,APAC
69043,117.626447,2.953996,Indonesia,Pulau Mening,296,POINT (117.626447 2.953996),1353,105,APAC
71025,116.940721,7.273264,Malaysia,Pulau Balambangan,244,POINT (116.940721 7.273264),1457,105,APAC
70322,121.811854,6.153077,Philippines,Bucutua Island,2196,POINT (121.811854 6.153077),1435,105,APAC
68970,125.400876,2.736964,Indonesia,Pulau Siau,27649,POINT (125.400876 2.736964),1348,106,APAC
68612,110.432811,1.657242,Malaysia,,8713,POINT (110.432811 1.657242),1316,107,APAC
68969,106.225137,2.770521,Indonesia,Pulau Airabu,610,POINT (106.225137 2.770521),1347,108,APAC
69470,126.670421,3.924533,Indonesia,Pulau Salibabu,25826,POINT (126.670421 3.924533),1383,109,APAC
